No,Branch Code,Branch Store Name,Province (English),Province (Khmer),District (English),District (Khmer),Commune (English),Commune (Khmer),NCDD Commune Code,Latitude,Longitude,English Keywords Count,English Search Keywords (Pipe Separated),Khmer Keywords Count,Khmer Search Keywords (Pipe Separated)
143,"DVCZ3","Vehicle Team Z3","","kampot","Vehicle Team Z3","vehicle team z3","","vehicle team z3","","","",2,"DVCZ3 | Vehicle Team Z3",0,""
144,"KAMA001","Banteay Meas Khang Kaeut","Kampot","កំពត","Banteay Meas","បន្ទាយមាស","Banteay Meas Khang Kaeut","បន្ទាយមាសខាងកើត","070201","10.646252","104.655786",4,"KAMA001 | Banteay Meas Khang Kaeut | Banteay Meas | 070201",9,"កំពត | បន្ទាយមាស | បន្ទាយមាសខាងកើត | ផ្សារឈើទាល | ផ្សារទូកមាស | ផ្សារកានសូម ាក | ផ្សារូមបូក ហ្គរាសស | ផ្សារគោកវែង | ផ្សារត្រាម សារ សារ"
145,"KAMA002","Tnoat Chong Srang","Kampot","កំពត","Banteay Meas","បន្ទាយមាស","Tnoat Chong Srang","ត្នោតចុងស្រង់","070209","10.590003","104.690418",4,"KAMA002 | Tnoat Chong Srang | Banteay Meas | 070209",7,"កំពត | បន្ទាយមាស | ត្នោតចុងស្រង់ | ផ្សារកានសូម ាក | ផ្សារូមបូក ហ្គរាសស | ផ្សារគោកវែង | ផ្សារគីរីវង់"
146,"KAMA003","Preaek Kroes","Kampot","កំពត","Kampong Trach","កំពង់ត្រាច","Preaek Kroes","ព្រែកក្រឹស","070612","10.540408","104.580345",4,"KAMA003 | Preaek Kroes | Kampong Trach | 070612",5,"កំពត | កំពង់ត្រាច | ព្រែកក្រឹស | ផ្សារតូញូន | ផ្សារថ្នល់បែក"
147,"KAMA005","Chhuk 01","Kampong Thom","កំពង់ធំ","Prasat Sambour","ប្រាសាទសំបូរ","Chhuk","ឈូក","060501","10.766813","104.495433",4,"KAMA005 | Chhuk 01 | Prasat Sambour | 060501",10,"កំពង់ធំ | ប្រាសាទសំបូរ | ឈូក | ផ្សារបានីេវ | ផ្សារឈូក | ផ្សារត្រពាំងគោ | ផ្សារដូង តូង | ផ្សារត្រាម សារ សារ | ផ្សារកោះស្លា | ផ្សារដានីេវ"
148,"KAMA006","KEP","","kampot","KEP","kep","","kep","","105.59244","104.3895",2,"KAMA006 | KEP",0,""
149,"KAMA007","Phnum Kong","Kampot","កំពត","Angkor Chey","អង្គរជ័យ","Phnum Kong","ភ្នំកុង","070108","10.774704","104.663157",4,"KAMA007 | Phnum Kong | Angkor Chey | 070108",10,"កំពត | អង្គរជ័យ | ភ្នំកុង | ផ្សារតានី | ផ្សារឈើទាល | ផ្សារាង ភ្នំតូច | ផ្សារកដអូច | ផ្សារស្តុក | ផ្សារត្រាម សារ សារ | ផ្សារដាន កអូម"
150,"KAMA008","Lbaeuk","Kampot","កំពត","Chhuk","ឈូក","Lbaeuk","ល្បើក","070308","10.826849","104.372241",4,"KAMA008 | Lbaeuk | Chhuk | 070308",6,"កំពត | ឈូក | ល្បើក | ផ្សារឈូក | ផ្សារដូង តូង ថ្មី | ផ្សារកោះចន្លោះ"
151,"KAMA009","Dang Tung 01","Kampot","កំពត","Dang Tong","ដងទង់","Damnak Sokram","ដំណាក់សុក្រំ","070501","10.769814","104.373538",4,"KAMA009 | Dang Tung 01 | Dang Tong | 070501",7,"កំពត | ដងទង់ | ដំណាក់សុក្រំ | ផ្សារឈូក | ផ្សារដូង តូង | ផ្សារដូង តូង ថ្មី | ផ្សារកោះចន្លោះ"
152,"KAMA010","Koun Sat","Kampot","កំពត","Tuek Chhou","ទឹកឈូ","Koun Satv","កូនសត្វ","070708","10.601968","104.279321",8,"KAMA010 | Koun Sat | Tuek Chhou | 070708 | kampot central market | kampot night market | kampot night market & food court | bokor night market",14,"កំពត | ទឹកឈូ | កូនសត្វ | ផ្សារសាមគ្គី | ផ្សារដីហ៊ុយ | ផ្សារដូននាកចូងីរ | ផ្សារចអូមក្រីេល | ផ្សារក្បាលអូរមាស | ផ្សាររូង | ផ្សាររៃ ញោន | ផ្សារសាមគ្គីកំពត | ផ្សាររាត្រីកំពត | ផ្សារកែប | ផ្សារលើ"
